Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,087031,1976,11,10.3,Y
IDCJAC0004,087031,1976,12,11.6,Y
IDCJAC0004,087031,1977,01,13.4,Y
IDCJAC0004,087031,1977,02,14.5,Y
IDCJAC0004,087031,1977,03,12.6,Y
IDCJAC0004,087031,1977,04,9.8,Y
IDCJAC0004,087031,1977,05,8.0,Y
IDCJAC0004,087031,1977,06,6.7,Y
IDCJAC0004,087031,1977,07,3.9,Y
IDCJAC0004,087031,1977,08,6.8,Y
IDCJAC0004,087031,1977,09,6.0,Y
IDCJAC0004,087031,1977,10,9.4,Y
IDCJAC0004,087031,1977,11,9.5,Y
IDCJAC0004,087031,1977,12,11.6,Y
IDCJAC0004,087031,1978,01,13.7,Y
IDCJAC0004,087031,1978,02,13.0,Y
IDCJAC0004,087031,1978,03,14.2,Y
IDCJAC0004,087031,1978,04,10.1,Y
IDCJAC0004,087031,1978,05,9.5,Y
IDCJAC0004,087031,1978,06,6.5,Y
IDCJAC0004,087031,1978,07,5.2,Y
IDCJAC0004,087031,1978,08,5.4,Y
IDCJAC0004,087031,1978,09,7.5,Y
IDCJAC0004,087031,1978,10,8.2,Y
IDCJAC0004,087031,1978,11,11.5,Y
IDCJAC0004,087031,1978,12,12.2,Y
IDCJAC0004,087031,1979,01,15.7,Y
IDCJAC0004,087031,1979,02,15.4,Y
IDCJAC0004,087031,1979,03,13.3,Y
IDCJAC0004,087031,1979,04,9.5,Y
IDCJAC0004,087031,1979,05,7.5,Y
IDCJAC0004,087031,1979,06,7.1,Y
IDCJAC0004,087031,1979,07,4.5,Y
IDCJAC0004,087031,1979,08,5.7,Y
IDCJAC0004,087031,1979,09,7.4,Y
IDCJAC0004,087031,1979,10,9.0,Y
IDCJAC0004,087031,1979,11,11.4,Y
IDCJAC0004,087031,1979,12,11.6,Y
IDCJAC0004,087031,1980,01,12.9,Y
IDCJAC0004,087031,1980,02,12.8,Y
IDCJAC0004,087031,1980,03,11.9,Y
IDCJAC0004,087031,1980,04,11.3,Y
IDCJAC0004,087031,1980,05,8.8,Y
IDCJAC0004,087031,1980,06,6.8,Y
IDCJAC0004,087031,1980,07,5.7,Y
IDCJAC0004,087031,1980,08,6.7,Y
IDCJAC0004,087031,1980,09,8.6,Y
IDCJAC0004,087031,1980,10,9.1,Y
IDCJAC0004,087031,1980,11,10.9,Y
IDCJAC0004,087031,1980,12,13.7,Y
IDCJAC0004,087031,1981,01,16.8,Y
IDCJAC0004,087031,1981,02,16.8,Y
IDCJAC0004,087031,1981,03,12.1,Y
IDCJAC0004,087031,1981,04,10.3,Y
IDCJAC0004,087031,1981,05,8.3,Y
IDCJAC0004,087031,1981,06,6.2,Y
IDCJAC0004,087031,1981,07,6.7,Y
IDCJAC0004,087031,1981,08,6.2,Y
IDCJAC0004,087031,1981,09,8.4,Y
IDCJAC0004,087031,1981,10,8.1,Y
IDCJAC0004,087031,1981,11,10.6,Y
IDCJAC0004,087031,1981,12,12.6,Y
IDCJAC0004,087031,1982,01,15.7,Y
IDCJAC0004,087031,1982,02,14.9,Y
IDCJAC0004,087031,1982,03,13.7,Y
IDCJAC0004,087031,1982,04,10.1,Y
IDCJAC0004,087031,1982,05,8.5,Y
IDCJAC0004,087031,1982,06,4.1,Y
IDCJAC0004,087031,1982,07,1.9,Y
IDCJAC0004,087031,1982,08,4.9,Y
IDCJAC0004,087031,1982,09,4.5,Y
IDCJAC0004,087031,1982,10,7.1,Y
IDCJAC0004,087031,1982,11,9.9,Y
IDCJAC0004,087031,1982,12,12.0,Y
IDCJAC0004,087031,1983,01,11.2,Y
IDCJAC0004,087031,1983,02,14.9,Y
IDCJAC0004,087031,1983,03,14.5,Y
IDCJAC0004,087031,1983,04,9.1,Y
IDCJAC0004,087031,1983,05,8.3,Y
IDCJAC0004,087031,1983,06,4.6,Y
IDCJAC0004,087031,1983,07,4.7,Y
IDCJAC0004,087031,1983,08,6.9,Y
IDCJAC0004,087031,1983,09,7.0,Y
IDCJAC0004,087031,1983,10,8.8,Y
IDCJAC0004,087031,1983,11,10.0,Y
IDCJAC0004,087031,1983,12,12.4,Y
IDCJAC0004,087031,1984,01,12.6,Y
IDCJAC0004,087031,1984,02,13.0,Y
IDCJAC0004,087031,1984,03,10.7,Y
IDCJAC0004,087031,1984,04,8.5,Y
IDCJAC0004,087031,1984,05,5.4,Y
IDCJAC0004,087031,1984,06,4.7,Y
IDCJAC0004,087031,1984,07,3.6,Y
IDCJAC0004,087031,1984,08,6.1,Y
IDCJAC0004,087031,1984,09,5.9,Y
IDCJAC0004,087031,1984,10,7.6,Y
IDCJAC0004,087031,1984,11,10.2,Y
IDCJAC0004,087031,1984,12,10.7,Y
IDCJAC0004,087031,1985,01,12.4,Y
IDCJAC0004,087031,1985,02,12.6,Y
IDCJAC0004,087031,1985,03,14.5,Y
IDCJAC0004,087031,1985,04,11.0,Y
IDCJAC0004,087031,1985,05,6.6,Y
IDCJAC0004,087031,1985,06,5.0,Y
IDCJAC0004,087031,1985,07,4.2,Y
IDCJAC0004,087031,1985,08,5.8,Y
IDCJAC0004,087031,1985,09,6.8,Y
IDCJAC0004,087031,1985,10,7.7,Y
IDCJAC0004,087031,1985,11,11.2,Y
IDCJAC0004,087031,1985,12,12.6,Y
IDCJAC0004,087031,1986,01,12.2,Y
IDCJAC0004,087031,1986,02,12.2,Y
IDCJAC0004,087031,1986,03,12.8,Y
IDCJAC0004,087031,1986,04,9.8,Y
IDCJAC0004,087031,1986,05,8.6,Y
IDCJAC0004,087031,1986,06,4.9,Y
IDCJAC0004,087031,1986,07,4.9,Y
IDCJAC0004,087031,1986,08,4.7,Y
IDCJAC0004,087031,1986,09,6.6,Y
IDCJAC0004,087031,1986,10,6.9,Y
IDCJAC0004,087031,1986,11,9.3,Y
IDCJAC0004,087031,1986,12,10.0,Y
IDCJAC0004,087031,1987,01,10.7,Y
IDCJAC0004,087031,1987,02,11.6,Y
IDCJAC0004,087031,1987,03,10.5,Y
IDCJAC0004,087031,1987,04,9.7,Y
IDCJAC0004,087031,1987,05,8.4,Y
IDCJAC0004,087031,1987,06,6.4,Y
IDCJAC0004,087031,1987,07,4.4,Y
IDCJAC0004,087031,1987,08,6.1,Y
IDCJAC0004,087031,1987,09,7.2,Y
IDCJAC0004,087031,1987,10,8.5,Y
IDCJAC0004,087031,1987,11,11.6,Y
IDCJAC0004,087031,1987,12,12.0,Y
IDCJAC0004,087031,1988,01,14.4,Y
IDCJAC0004,087031,1988,02,13.1,Y
IDCJAC0004,087031,1988,03,12.7,Y
IDCJAC0004,087031,1988,04,11.3,Y
IDCJAC0004,087031,1988,05,9.8,Y
IDCJAC0004,087031,1988,06,6.3,Y
IDCJAC0004,087031,1988,07,6.5,Y
IDCJAC0004,087031,1988,08,6.1,Y
IDCJAC0004,087031,1988,09,6.9,Y
IDCJAC0004,087031,1988,10,8.6,Y
IDCJAC0004,087031,1988,11,10.7,Y
IDCJAC0004,087031,1988,12,13.6,Y
IDCJAC0004,087031,1989,01,13.3,Y
IDCJAC0004,087031,1989,02,14.8,Y
IDCJAC0004,087031,1989,03,14.5,Y
IDCJAC0004,087031,1989,04,10.8,Y
IDCJAC0004,087031,1989,05,8.7,Y
IDCJAC0004,087031,1989,06,4.7,Y
IDCJAC0004,087031,1989,07,4.4,Y
IDCJAC0004,087031,1989,08,4.5,Y
IDCJAC0004,087031,1989,09,6.0,Y
IDCJAC0004,087031,1989,10,7.5,Y
IDCJAC0004,087031,1989,11,10.4,Y
IDCJAC0004,087031,1989,12,11.4,Y
IDCJAC0004,087031,1990,01,13.7,Y
IDCJAC0004,087031,1990,02,13.7,Y
IDCJAC0004,087031,1990,03,12.7,Y
IDCJAC0004,087031,1990,04,11.7,Y
IDCJAC0004,087031,1990,05,7.8,Y
IDCJAC0004,087031,1990,06,6.0,Y
IDCJAC0004,087031,1990,07,6.3,Y
IDCJAC0004,087031,1990,08,6.1,Y
IDCJAC0004,087031,1990,09,6.9,Y
IDCJAC0004,087031,1990,10,8.8,Y
IDCJAC0004,087031,1990,11,10.4,Y
IDCJAC0004,087031,1990,12,12.2,Y
IDCJAC0004,087031,1991,01,14.9,Y
IDCJAC0004,087031,1991,02,12.5,Y
IDCJAC0004,087031,1991,03,11.1,Y
IDCJAC0004,087031,1991,04,8.4,Y
IDCJAC0004,087031,1991,05,7.0,Y
IDCJAC0004,087031,1991,06,8.3,Y
IDCJAC0004,087031,1991,07,5.7,Y
IDCJAC0004,087031,1991,08,5.5,Y
IDCJAC0004,087031,1991,09,6.3,Y
