Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086088,1938,09,16.7,Y
IDCJAC0001,086088,1938,10,22.9,Y
IDCJAC0001,086088,1938,11,26.5,Y
IDCJAC0001,086088,1938,12,7.7,Y
IDCJAC0001,086088,1939,01,11.2,Y
IDCJAC0001,086088,1939,02,212.6,Y
IDCJAC0001,086088,1939,03,28.3,Y
IDCJAC0001,086088,1939,04,84.9,Y
IDCJAC0001,086088,1939,05,85.6,Y
IDCJAC0001,086088,1939,06,77.2,Y
IDCJAC0001,086088,1939,07,19.6,Y
IDCJAC0001,086088,1939,08,127.6,Y
IDCJAC0001,086088,1939,09,75.3,Y
IDCJAC0001,086088,1939,10,72.4,Y
IDCJAC0001,086088,1939,11,148.3,Y
IDCJAC0001,086088,1939,12,23.6,Y
IDCJAC0001,086088,1940,01,47.1,Y
IDCJAC0001,086088,1940,02,18.1,Y
IDCJAC0001,086088,1940,03,19.8,Y
IDCJAC0001,086088,1940,04,100.8,Y
IDCJAC0001,086088,1940,05,52.1,Y
IDCJAC0001,086088,1940,06,67.5,Y
IDCJAC0001,086088,1940,07,42.7,Y
IDCJAC0001,086088,1940,08,23.3,Y
IDCJAC0001,086088,1940,09,47.0,Y
IDCJAC0001,086088,1940,10,16.5,Y
IDCJAC0001,086088,1940,11,47.6,Y
IDCJAC0001,086088,1940,12,56.6,Y
IDCJAC0001,086088,1941,01,133.3,Y
IDCJAC0001,086088,1941,02,17.7,Y
IDCJAC0001,086088,1941,03,81.8,Y
IDCJAC0001,086088,1941,04,55.7,Y
IDCJAC0001,086088,1941,05,42.0,Y
IDCJAC0001,086088,1941,06,131.9,Y
IDCJAC0001,086088,1941,07,52.0,Y
IDCJAC0001,086088,1941,08,57.2,Y
IDCJAC0001,086088,1941,09,69.4,Y
IDCJAC0001,086088,1941,10,29.6,Y
IDCJAC0001,086088,1941,11,44.5,Y
IDCJAC0001,086088,1941,12,34.6,Y
IDCJAC0001,086088,1942,01,37.1,Y
IDCJAC0001,086088,1942,02,71.8,Y
IDCJAC0001,086088,1942,03,76.4,Y
IDCJAC0001,086088,1942,04,60.5,Y
IDCJAC0001,086088,1942,05,153.1,Y
IDCJAC0001,086088,1942,06,23.2,Y
IDCJAC0001,086088,1942,07,32.8,Y
IDCJAC0001,086088,1942,08,74.8,Y
IDCJAC0001,086088,1942,09,73.5,Y
IDCJAC0001,086088,1942,10,54.6,Y
IDCJAC0001,086088,1942,11,91.7,Y
IDCJAC0001,086088,1942,12,22.6,Y
IDCJAC0001,086088,1943,01,76.2,Y
IDCJAC0001,086088,1943,02,53.3,Y
IDCJAC0001,086088,1943,03,5.9,Y
IDCJAC0001,086088,1943,04,65.6,Y
IDCJAC0001,086088,1943,05,20.1,Y
IDCJAC0001,086088,1943,06,70.6,Y
IDCJAC0001,086088,1943,07,40.9,Y
IDCJAC0001,086088,1943,08,36.2,Y
IDCJAC0001,086088,1943,09,88.7,Y
IDCJAC0001,086088,1943,10,20.5,Y
IDCJAC0001,086088,1943,11,72.5,Y
IDCJAC0001,086088,1943,12,22.1,Y
IDCJAC0001,086088,1944,01,18.8,Y
IDCJAC0001,086088,1944,02,31.5,Y
IDCJAC0001,086088,1944,03,55.3,Y
IDCJAC0001,086088,1944,04,119.2,Y
IDCJAC0001,086088,1944,05,171.9,Y
IDCJAC0001,086088,1944,06,33.8,Y
IDCJAC0001,086088,1944,07,53.2,Y
IDCJAC0001,086088,1944,08,18.1,Y
IDCJAC0001,086088,1944,09,63.3,Y
IDCJAC0001,086088,1944,10,58.3,Y
IDCJAC0001,086088,1944,11,34.9,Y
IDCJAC0001,086088,1944,12,74.7,Y
IDCJAC0001,086088,1945,01,64.8,Y
IDCJAC0001,086088,1945,02,14.4,Y
IDCJAC0001,086088,1945,03,4.5,Y
IDCJAC0001,086088,1945,04,23.6,Y
IDCJAC0001,086088,1945,05,60.3,Y
IDCJAC0001,086088,1945,06,43.4,Y
IDCJAC0001,086088,1945,07,74.5,Y
IDCJAC0001,086088,1945,08,27.7,Y
IDCJAC0001,086088,1945,09,26.5,Y
IDCJAC0001,086088,1945,10,29.5,Y
IDCJAC0001,086088,1945,11,63.0,Y
IDCJAC0001,086088,1945,12,21.3,Y
IDCJAC0001,086088,1946,01,39.6,Y
IDCJAC0001,086088,1946,02,131.5,Y
IDCJAC0001,086088,1946,03,63.0,Y
IDCJAC0001,086088,1946,04,68.9,Y
IDCJAC0001,086088,1946,05,14.8,Y
IDCJAC0001,086088,1946,06,79.8,Y
IDCJAC0001,086088,1946,07,54.8,Y
IDCJAC0001,086088,1946,08,27.6,Y
IDCJAC0001,086088,1946,09,70.6,Y
IDCJAC0001,086088,1946,10,64.5,Y
IDCJAC0001,086088,1946,11,38.4,Y
IDCJAC0001,086088,1946,12,76.7,Y
IDCJAC0001,086088,1947,01,21.6,Y
IDCJAC0001,086088,1947,02,20.3,Y
IDCJAC0001,086088,1947,03,105.5,Y
IDCJAC0001,086088,1947,04,65.8,Y
IDCJAC0001,086088,1947,05,23.0,Y
IDCJAC0001,086088,1947,06,32.9,Y
IDCJAC0001,086088,1947,07,82.6,Y
IDCJAC0001,086088,1947,08,51.5,Y
IDCJAC0001,086088,1947,09,44.1,Y
IDCJAC0001,086088,1947,10,104.0,Y
IDCJAC0001,086088,1947,11,56.9,Y
IDCJAC0001,086088,1947,12,86.8,Y
IDCJAC0001,086088,1948,01,20.0,Y
IDCJAC0001,086088,1948,02,44.3,Y
IDCJAC0001,086088,1948,03,7.8,Y
IDCJAC0001,086088,1948,04,100.0,Y
IDCJAC0001,086088,1948,05,69.2,Y
IDCJAC0001,086088,1948,06,41.8,Y
IDCJAC0001,086088,1948,07,26.6,Y
IDCJAC0001,086088,1948,08,22.1,Y
IDCJAC0001,086088,1948,09,46.7,Y
IDCJAC0001,086088,1948,10,103.2,Y
IDCJAC0001,086088,1948,11,24.2,Y
IDCJAC0001,086088,1948,12,34.4,Y
IDCJAC0001,086088,1949,01,46.7,Y
IDCJAC0001,086088,1949,02,39.9,Y
IDCJAC0001,086088,1949,03,145.2,Y
IDCJAC0001,086088,1949,04,50.9,Y
IDCJAC0001,086088,1949,05,80.0,Y
IDCJAC0001,086088,1949,06,49.8,Y
IDCJAC0001,086088,1949,07,55.9,Y
IDCJAC0001,086088,1949,08,24.6,Y
IDCJAC0001,086088,1949,09,47.4,Y
IDCJAC0001,086088,1949,10,128.2,Y
IDCJAC0001,086088,1949,11,134.0,Y
IDCJAC0001,086088,1949,12,36.8,Y
IDCJAC0001,086088,1950,01,9.9,Y
IDCJAC0001,086088,1950,02,71.7,Y
IDCJAC0001,086088,1950,03,57.4,Y
IDCJAC0001,086088,1950,04,40.2,Y
IDCJAC0001,086088,1950,05,45.0,Y
IDCJAC0001,086088,1950,06,23.7,Y
IDCJAC0001,086088,1950,07,44.2,Y
IDCJAC0001,086088,1950,08,27.7,Y
IDCJAC0001,086088,1950,09,68.8,Y
IDCJAC0001,086088,1950,10,73.5,Y
IDCJAC0001,086088,1950,11,68.4,Y
IDCJAC0001,086088,1950,12,63.5,Y
IDCJAC0001,086088,1951,01,39.4,Y
IDCJAC0001,086088,1951,02,82.3,Y
IDCJAC0001,086088,1951,03,2.0,Y
IDCJAC0001,086088,1951,04,108.2,Y
IDCJAC0001,086088,1951,05,103.0,Y
IDCJAC0001,086088,1951,06,72.2,Y
IDCJAC0001,086088,1951,07,87.4,Y
IDCJAC0001,086088,1951,08,68.2,Y
IDCJAC0001,086088,1951,09,53.5,Y
IDCJAC0001,086088,1951,10,56.3,Y
IDCJAC0001,086088,1951,11,57.6,Y
IDCJAC0001,086088,1951,12,53.5,Y
IDCJAC0001,086088,1952,01,21.3,Y
IDCJAC0001,086088,1952,02,40.1,Y
IDCJAC0001,086088,1952,03,42.3,Y
IDCJAC0001,086088,1952,04,79.7,Y
IDCJAC0001,086088,1952,05,81.5,Y
IDCJAC0001,086088,1952,06,75.3,Y
IDCJAC0001,086088,1952,07,149.9,Y
IDCJAC0001,086088,1952,08,65.3,Y
IDCJAC0001,086088,1952,09,74.1,Y
IDCJAC0001,086088,1952,10,67.8,Y
IDCJAC0001,086088,1952,11,131.1,Y
IDCJAC0001,086088,1952,12,79.0,Y
IDCJAC0001,086088,1953,01,67.1,Y
IDCJAC0001,086088,1953,02,47.7,Y
IDCJAC0001,086088,1953,03,12.4,Y
IDCJAC0001,086088,1953,04,34.6,Y
IDCJAC0001,086088,1953,05,69.1,Y
IDCJAC0001,086088,1953,06,44.6,Y
IDCJAC0001,086088,1953,07,33.9,Y
IDCJAC0001,086088,1953,08,50.2,Y
IDCJAC0001,086088,1953,09,89.9,Y
IDCJAC0001,086088,1953,10,95.6,Y
IDCJAC0001,086088,1953,11,73.6,Y
IDCJAC0001,086088,1953,12,26.7,Y
IDCJAC0001,086088,1954,01,28.4,Y
IDCJAC0001,086088,1954,02,44.5,Y
IDCJAC0001,086088,1954,03,13.7,Y
IDCJAC0001,086088,1954,04,49.4,Y
IDCJAC0001,086088,1954,05,50.3,Y
IDCJAC0001,086088,1954,06,53.5,Y
IDCJAC0001,086088,1954,07,41.9,Y
IDCJAC0001,086088,1954,08,59.4,Y
IDCJAC0001,086088,1954,09,45.4,Y
IDCJAC0001,086088,1954,10,64.1,Y
IDCJAC0001,086088,1954,11,125.2,Y
IDCJAC0001,086088,1954,12,117.2,Y
IDCJAC0001,086088,1955,01,15.2,Y
IDCJAC0001,086088,1955,02,93.0,Y
IDCJAC0001,086088,1955,03,54.5,Y
IDCJAC0001,086088,1955,04,49.8,Y
IDCJAC0001,086088,1955,05,88.1,Y
IDCJAC0001,086088,1955,06,77.4,Y
IDCJAC0001,086088,1955,07,72.4,Y
IDCJAC0001,086088,1955,08,89.3,Y
IDCJAC0001,086088,1955,09,89.2,Y
IDCJAC0001,086088,1955,10,84.3,Y
IDCJAC0001,086088,1955,11,68.3,Y
IDCJAC0001,086088,1955,12,134.2,Y
IDCJAC0001,086088,1956,01,121.7,Y
IDCJAC0001,086088,1956,02,0.0,Y
IDCJAC0001,086088,1956,03,65.4,Y
IDCJAC0001,086088,1956,04,76.5,Y
IDCJAC0001,086088,1956,05,128.0,Y
IDCJAC0001,086088,1956,06,54.9,Y
IDCJAC0001,086088,1956,07,69.6,Y
IDCJAC0001,086088,1956,08,82.4,Y
IDCJAC0001,086088,1956,09,90.9,Y
IDCJAC0001,086088,1956,10,120.5,Y
IDCJAC0001,086088,1956,11,94.9,Y
IDCJAC0001,086088,1956,12,48.5,Y
IDCJAC0001,086088,1957,01,9.1,Y
IDCJAC0001,086088,1957,02,23.3,Y
IDCJAC0001,086088,1957,03,54.4,Y
IDCJAC0001,086088,1957,04,39.5,Y
IDCJAC0001,086088,1957,05,73.8,Y
IDCJAC0001,086088,1957,06,48.0,Y
IDCJAC0001,086088,1957,07,87.9,Y
IDCJAC0001,086088,1957,08,49.5,Y
IDCJAC0001,086088,1957,09,114.5,Y
